owner,repository,category,stars,forks,watchers,subscribers,open_issues,size,language,topics_count,license,default_branch,contributors,releases,branches,readme_size,has_wiki,has_projects,has_issues,has_pages,archived,disabled,created_at,updated_at,pushed_at
SamyPesse,How-to-Make-a-Computer-Operating-System,Dormant,22420,3458,22420,1526,86,5986,C,0,Apache-2.0,master,30,1,1,1594,0,1,1,0,0,0,2013-11-29 17:36:32+00:00,2026-07-14 06:37:33+00:00,2021-12-16 09:10:55+00:00
futurice,android-best-practices,Dormant,20459,3305,20459,1435,30,584,Unknown,3,NOASSERTION,master,30,0,5,37487,0,1,1,0,0,0,2014-07-29 09:09:44+00:00,2026-07-13 21:39:19+00:00,2021-10-01 07:31:17+00:00
afshinea,stanford-cs-229-machine-learning,Dormant,19793,4204,19793,726,20,38339,Unknown,8,MIT,master,2,0,1,4213,1,1,1,0,0,0,2018-08-04 23:01:00+00:00,2026-07-14 08:38:56+00:00,2020-05-20 04:57:25+00:00
ShusenTang,Dive-into-DL-PyTorch,Dormant,19427,5402,19427,378,78,35157,Jupyter Notebook,7,Apache-2.0,master,8,0,1,10841,1,1,1,1,0,0,2019-02-21 03:45:20+00:00,2026-07-13 20:16:13+00:00,2021-10-14 08:59:15+00:00
tobiasahlin,SpinKit,Dormant,19338,1766,19338,440,11,265,CSS,0,MIT,master,16,9,1,5268,1,1,1,0,0,0,2013-12-12 23:29:41+00:00,2026-07-13 08:01:39+00:00,2020-08-01 09:04:59+00:00
jcjohnson,neural-style,Dormant,18284,2644,18284,623,316,48191,Lua,0,MIT,master,13,0,2,20118,1,1,1,0,0,0,2015-09-01 04:55:14+00:00,2026-07-11 14:27:07+00:00,2018-02-23 01:21:20+00:00
InterviewMap,CS-Interview-Knowledge-Map,Dormant,18264,2533,18264,684,42,10896,Unknown,6,No License,master,30,0,2,3375,1,1,1,0,0,0,2018-03-19 02:38:12+00:00,2026-07-13 07:24:39+00:00,2020-05-03 00:47:59+00:00
Micropoor,Micro8,Dormant,18064,6651,18064,952,17,98064,Unknown,3,No License,master,3,0,1,2740,1,1,1,0,0,0,2019-02-18 08:30:52+00:00,2026-07-13 20:16:13+00:00,2021-04-10 14:29:11+00:00
forezp,SpringCloudLearning,Dormant,17933,7956,17933,825,50,582,Java,15,No License,master,1,0,1,10645,1,1,1,0,0,0,2017-04-08 10:06:56+00:00,2026-07-13 20:13:54+00:00,2021-04-12 09:53:47+00:00
reactnativecn,react-native-guide,Dormant,17826,3761,17826,1015,4,117,Unknown,0,No License,master,30,0,2,16678,1,1,1,0,0,0,2015-04-10 03:34:17+00:00,2026-07-14 03:31:32+00:00,2020-07-27 05:47:48+00:00
julianshapiro,velocity,Dormant,17210,1514,17210,389,40,8139,JavaScript,0,MIT,master,30,18,5,5132,1,1,1,0,0,0,2014-04-09 20:02:38+00:00,2026-07-12 17:03:14+00:00,2020-10-24 07:45:51+00:00
menzi11,BullshitGenerator,Dormant,15526,2799,15526,264,151,33,JavaScript,0,NOASSERTION,master,5,0,1,1836,1,1,1,0,0,0,2019-10-28 17:05:51+00:00,2026-07-13 20:16:54+00:00,2021-07-10 09:44:32+00:00
jobbole,awesome-programming-books,Dormant,15441,3463,15441,847,39,158,Unknown,0,No License,master,7,0,1,49131,1,1,1,0,0,0,2016-05-24 02:56:57+00:00,2026-07-14 08:45:17+00:00,2021-08-26 16:09:38+00:00
kailashahirwar,cheatsheets-ai,Dormant,15411,3386,15411,1021,12,29960,Unknown,7,MIT,master,3,0,1,4363,1,1,1,1,0,0,2017-05-24 12:06:56+00:00,2026-07-13 20:14:04+00:00,2019-10-19 12:33:06+00:00
zziz,pwc,Dormant,15325,2428,15325,1151,25,1643,Unknown,8,No License,master,9,0,1,353887,1,1,1,1,0,0,2018-09-02 12:06:52+00:00,2026-07-14 00:14:49+00:00,2020-01-16 21:38:24+00:00
limetext,lime,Dormant,15280,1049,15280,737,22,2133,Unknown,3,BSD-2-Clause,master,30,0,2,4561,1,1,1,0,0,0,2012-10-03 18:10:02+00:00,2026-07-12 00:23:21+00:00,2021-01-02 13:10:47+00:00
programthink,zhao,Dormant,14021,2728,14021,700,385,72400,Python,0,GPL-3.0,master,1,0,1,6284,0,1,1,0,0,0,2016-02-28 15:38:57+00:00,2026-07-13 17:46:41+00:00,2021-08-01 15:22:51+00:00
Yixiaohan,show-me-the-code,Dormant,13717,4634,13717,1281,3,24,Unknown,3,MIT,master,1,0,1,7136,1,1,1,0,0,0,2014-09-04 07:02:34+00:00,2026-07-14 00:33:18+00:00,2019-11-11 04:02:04+00:00
lgvalle,Material-Animations,Dormant,13559,2444,13559,518,20,8692,Java,0,MIT,master,8,0,5,22926,1,1,1,0,0,0,2015-03-08 20:54:00+00:00,2026-07-14 12:26:20+00:00,2019-04-02 15:42:38+00:00
dragen1860,Deep-Learning-with-TensorFlow-book,Dormant,13225,4027,13225,474,81,128308,Jupyter Notebook,8,No License,master,5,0,1,3585,1,1,1,0,0,0,2019-06-16 05:53:27+00:00,2026-07-14 06:37:01+00:00,2021-08-30 10:54:30+00:00
MorvanZhou,tutorials,Dormant,12971,5677,12971,657,17,62652,Python,9,MIT,master,5,0,1,2604,0,1,1,0,0,0,2016-05-29 13:29:44+00:00,2026-07-14 07:28:31+00:00,2020-12-22 22:02:58+00:00
p8952,bocker,Dormant,12661,752,12661,266,15,373,Shell,0,GPL-3.0,master,9,0,1,4181,0,1,1,0,0,0,2015-07-14 22:33:49+00:00,2026-07-14 02:22:29+00:00,2017-12-09 14:16:38+00:00
node-inspector,node-inspector,Dormant,12644,716,12644,236,243,7522,JavaScript,0,BSD-2-Clause,master,30,0,5,15379,1,1,1,0,0,0,2010-07-17 23:20:19+00:00,2026-07-12 16:52:31+00:00,2018-02-08 23:01:21+00:00
daimajia,AndroidViewAnimations,Dormant,12448,2411,12448,458,66,297,Java,3,MIT,master,15,9,3,3165,1,1,1,0,0,0,2014-06-23 03:53:13+00:00,2026-07-13 13:12:23+00:00,2021-08-18 23:15:07+00:00
jikexueyuanwiki,tensorflow-zh,Dormant,12361,4114,12361,1290,28,44266,TeX,0,No License,master,30,0,2,6555,1,1,1,0,0,0,2015-11-10 07:59:30+00:00,2026-07-14 07:33:05+00:00,2019-08-04 08:55:50+00:00
bailicangdu,node-elm,Dormant,12351,3681,12351,403,93,8212,JavaScript,4,GPL-2.0,master,4,0,10,9704,1,1,1,0,0,0,2017-03-22 10:48:37+00:00,2026-07-13 20:13:51+00:00,2021-12-14 07:06:56+00:00
zenorocha,alfred-workflows,Dormant,12265,827,12265,376,14,74915,Unknown,0,No License,master,12,22,1,11967,1,1,1,0,0,0,2013-09-23 21:46:31+00:00,2026-07-13 08:05:40+00:00,2021-02-27 01:37:28+00:00
tj,co,Dormant,11851,779,11851,254,44,437,JavaScript,0,MIT,master,30,0,1,5383,1,1,1,0,0,0,2013-06-06 04:06:16+00:00,2026-07-12 22:02:23+00:00,2020-12-15 07:22:26+00:00
bang590,JSPatch,Dormant,11331,2218,11331,493,106,7890,Objective-C,4,MIT,master,30,0,1,8326,1,1,1,0,0,0,2015-05-25 02:37:22+00:00,2026-07-07 04:37:52+00:00,2020-12-01 02:18:35+00:00
cjwirth,awesome-ios-ui,Dormant,11206,1328,11206,633,12,144858,Unknown,0,No License,master,13,0,1,26956,1,1,1,0,0,0,2015-04-07 11:01:23+00:00,2026-07-10 19:20:18+00:00,2018-03-08 08:57:40+00:00
JordanSchuetz,LearnCS8-Resume,Dormant,11202,198,11202,35,1,4326,HTML,0,No License,master,1,0,1,342,1,1,1,1,0,0,2019-09-20 01:59:27+00:00,2026-07-06 12:07:32+00:00,2021-01-04 06:37:12+00:00
metafizzy,isotope,Dormant,11103,1377,11103,282,76,1699,HTML,0,No License,master,10,13,3,2098,0,0,1,1,0,0,2011-01-01 05:20:00+00:00,2026-07-10 16:46:50+00:00,2021-09-24 03:20:14+00:00
vipstone,faceai,Dormant,11084,2492,11084,385,38,40473,Python,5,MIT,master,4,0,1,3803,0,1,1,0,0,0,2018-04-17 08:44:17+00:00,2026-07-13 20:15:11+00:00,2020-04-16 12:16:19+00:00
keen,dashboards,Dormant,11038,1391,11038,488,6,2240,HTML,10,MIT,master,21,1,7,5956,1,1,1,1,0,0,2014-08-08 17:16:17+00:00,2026-07-12 01:00:57+00:00,2021-11-02 12:25:42+00:00
jfeinstein10,SlidingMenu,Dormant,10999,4943,10999,954,306,32085,Java,0,Apache-2.0,master,18,0,8,9204,1,1,1,1,0,0,2012-06-30 05:14:23+00:00,2026-07-08 04:41:55+00:00,2021-09-19 14:04:18+00:00
mrgloom,awesome-semantic-segmentation,Dormant,10845,2467,10845,434,17,290,Unknown,4,No License,master,15,0,1,31928,1,1,1,0,0,0,2015-10-03 10:07:34+00:00,2026-07-14 02:24:04+00:00,2021-05-08 13:40:11+00:00
magicalpanda,MagicalRecord,Dormant,10709,1767,10709,380,242,8165,Objective-C,0,NOASSERTION,master,30,10,8,3200,1,1,1,1,0,0,2010-07-27 23:58:18+00:00,2026-07-09 07:23:45+00:00,2021-04-27 16:21:19+00:00
DopplerHQ,awesome-interview-questions,Archived,83555,9530,83555,4,48,488,Unknown,14,No License,master,30,0,5,49633,1,0,1,0,1,0,2015-11-28 09:48:17+00:00,2026-07-14 11:46:44+00:00,2024-07-29 14:21:23+00:00
sdmg15,Best-websites-a-programmer-should-visit,Archived,76269,8561,76269,1,1007,2005,Unknown,6,MIT,master,30,0,4,96430,1,1,1,1,1,0,2017-03-05 20:25:17+00:00,2026-07-14 11:27:14+00:00,2025-09-16 18:34:24+00:00
localstack,localstack,Archived,65123,4763,65123,513,0,57561,Python,7,NOASSERTION,main,30,30,2,13741,0,1,1,0,1,0,2016-10-25 23:48:03+00:00,2026-07-14 11:06:57+00:00,2026-03-23 08:52:01+00:00
gsd-build,get-shit-done,Archived,64749,5481,64749,265,0,20286,JavaScript,4,MIT,main,30,30,30,329,1,1,1,0,1,0,2025-12-14 14:17:12+00:00,2026-07-14 12:00:12+00:00,2026-05-31 17:46:54+00:00
minio,minio,Archived,61331,7664,61331,646,80,125263,Go,12,AGPL-3.0,master,30,30,12,8960,0,0,1,1,1,0,2015-01-14 19:23:58+00:00,2026-07-14 12:02:48+00:00,2026-04-24 17:54:39+00:00
atom,atom,Archived,60808,17184,60808,0,994,330585,JavaScript,7,MIT,master,30,30,30,4454,0,0,1,0,1,0,2012-01-20 18:18:21+00:00,2026-07-14 07:45:47+00:00,2023-01-03 10:49:48+00:00
angular,angular.js,Archived,58579,27072,58579,4,461,101796,JavaScript,0,MIT,master,30,0,22,6130,1,1,1,0,1,0,2010-01-06 00:34:37+00:00,2026-07-13 20:09:52+00:00,2024-04-12 17:43:16+00:00
AntonOsika,gpt-engineer,Archived,55189,7293,55189,525,69,20474,Python,10,MIT,main,30,21,30,7857,0,1,1,0,1,0,2023-04-29 12:52:15+00:00,2026-07-14 09:21:10+00:00,2025-05-14 10:15:10+00:00
maybe-finance,maybe,Archived,54339,5648,54339,3,0,6891,Ruby,8,AGPL-3.0,main,30,28,15,2366,1,0,0,0,1,0,2024-01-01 22:23:46+00:00,2026-07-14 11:20:09+00:00,2025-07-24 22:20:44+00:00
GitSquared,edex-ui,Archived,44969,3153,44969,11,6,31579,JavaScript,13,GPL-3.0,master,30,29,1,11836,1,0,1,0,1,0,2017-01-28 09:35:02+00:00,2026-07-14 09:09:49+00:00,2021-10-19 22:38:47+00:00
dylanaraps,pure-bash-bible,Archived,41706,3629,41706,3,62,232,Shell,12,MIT,master,20,0,1,49418,0,0,1,0,1,0,2018-06-13 01:39:33+00:00,2026-07-14 07:07:36+00:00,2023-11-28 03:26:23+00:00
google-research,bert,Archived,40052,9690,40052,0,880,317,Python,5,Apache-2.0,master,25,0,2,50519,1,0,1,0,1,0,2018-10-25 22:57:34+00:00,2026-07-13 20:15:48+00:00,2024-07-23 23:39:41+00:00
siddharthvaddem,openscreen,Archived,39347,2895,39347,85,49,170173,TypeScript,5,MIT,main,30,13,22,8149,1,1,1,0,1,0,2025-10-10 05:36:55+00:00,2026-07-14 12:23:31+00:00,2026-06-17 02:34:20+00:00
karpathy,LLM101n,Archived,37469,2057,37469,52,19,275,Unknown,0,No License,master,1,0,1,2398,0,0,0,0,1,0,2024-05-27 00:23:38+00:00,2026-07-14 09:32:09+00:00,2024-08-01 01:20:33+00:00
openai,gym,Archived,37250,8690,37250,1038,128,7125,Python,0,NOASSERTION,master,30,19,30,4854,1,1,1,0,1,0,2016-04-27 14:59:16+00:00,2026-07-14 09:09:05+00:00,2026-03-26 23:13:27+00:00
inkonchain,ink-kit,Archived,36446,430,36446,0,3,1109,TypeScript,0,MIT,main,12,0,6,3040,0,0,1,0,1,0,2024-11-04 16:32:17+00:00,2026-07-14 08:44:17+00:00,2025-10-20 15:44:41+00:00
reworkd,AgentGPT,Archived,36273,9298,36273,331,219,91869,TypeScript,15,GPL-3.0,main,30,12,30,12501,0,0,1,0,1,0,2023-04-07 02:29:19+00:00,2026-07-14 09:55:28+00:00,2025-04-29 01:19:32+00:00
slatedocs,slate,Archived,36073,363,36073,489,50,1323,Unknown,4,No License,migration-notice,1,28,1,646,1,0,1,0,1,0,2013-09-13 22:15:24+00:00,2026-07-13 20:10:59+00:00,2026-02-01 05:54:12+00:00
opentofu,manifesto,Archived,35722,1030,35722,63,20,1858,HTML,0,Apache-2.0,main,30,0,30,778,0,1,1,1,1,0,2023-08-13 16:17:24+00:00,2026-07-13 21:51:23+00:00,2025-03-18 18:26:51+00:00
nativefier,nativefier,Archived,35304,2237,35304,3,258,6372,TypeScript,6,MIT,master,30,30,2,3767,0,0,1,0,1,0,2015-07-05 05:56:42+00:00,2026-07-14 09:22:58+00:00,2023-09-29 13:45:16+00:00
nodejs,node-v0.x-archive,Archived,34295,7227,34295,32,0,144238,Unknown,0,No License,moved,2,0,30,627,1,1,1,0,1,0,2009-05-27 16:29:46+00:00,2026-07-14 06:35:26+00:00,2024-08-15 20:32:32+00:00
testerSunshine,12306,Archived,34123,9629,34123,1,279,58570,Python,0,MIT,master,21,1,10,7054,1,1,1,0,1,0,2017-05-17 12:23:40+00:00,2026-07-14 10:37:57+00:00,2023-04-02 03:19:43+00:00
atlassian,react-beautiful-dnd,Archived,33978,2710,33978,2,643,14804,JavaScript,6,NOASSERTION,master,30,30,30,11096,0,1,1,0,1,0,2017-08-09 03:37:15+00:00,2026-07-14 11:10:32+00:00,2025-08-18 04:35:31+00:00
alibaba,easyexcel,Archived,33695,7580,33695,17,569,26334,Java,7,Apache-2.0,master,30,14,29,12153,1,1,1,0,1,0,2018-02-06 03:14:08+00:00,2026-07-13 09:41:00+00:00,2024-10-29 06:07:07+00:00
AFNetworking,AFNetworking,Archived,33422,10603,33422,7,102,6129,Objective-C,0,MIT,master,30,30,6,15048,1,0,0,0,1,0,2011-05-31 21:28:44+00:00,2026-07-10 02:12:09+00:00,2023-01-17 19:30:05+00:00
adobe,brackets,Archived,33028,7463,33028,25,2778,92974,JavaScript,0,MIT,master,30,30,30,6933,1,1,1,0,1,0,2011-12-07 21:14:40+00:00,2026-07-12 18:50:40+00:00,2022-06-12 08:19:24+00:00
microsoft,MS-DOS,Archived,32271,4647,32271,7,3,120196,Assembly,1,MIT,main,30,0,1,2143,0,0,0,0,1,0,2018-06-25 18:26:02+00:00,2026-07-13 21:58:50+00:00,2024-04-25 22:32:47+00:00
facebookresearch,fairseq,Archived,32239,6675,32239,421,1352,26071,Python,3,MIT,main,30,16,30,17398,0,1,1,0,1,0,2017-08-29 16:26:12+00:00,2026-07-13 20:14:23+00:00,2025-09-30 11:16:06+00:00
Chanzhaoyu,chatgpt-web,Archived,31563,10779,31563,1,1,6223,Vue,0,MIT,main,30,30,3,14432,1,1,1,0,1,0,2023-02-09 03:21:37+00:00,2026-07-13 20:18:06+00:00,2024-08-16 15:26:57+00:00
iperov,DeepFaceLive,Archived,30992,1285,30992,9,1,1540184,Python,7,GPL-3.0,master,8,30,1,10162,0,1,1,0,1,0,2020-12-15 12:19:22+00:00,2026-07-14 08:26:16+00:00,2024-11-08 03:07:42+00:00
blueimp,jQuery-File-Upload,Archived,30740,7768,30740,1564,53,4611,PHP,0,MIT,master,30,0,6,8572,1,0,1,1,1,0,2010-12-01 15:35:32+00:00,2026-07-13 17:07:30+00:00,2026-04-08 09:52:14+00:00
herrbischoff,awesome-macos-command-line,Archived,30734,1433,30734,738,0,1,Unknown,7,No License,main,1,0,1,1461,0,0,0,1,1,0,2015-09-22 19:37:55+00:00,2026-07-14 10:22:50+00:00,2026-03-04 11:01:49+00:00
Binaryify,NeteaseCloudMusicApi,Archived,30278,15742,30278,0,147,1,Unknown,6,No License,master,1,0,1,149,0,1,1,1,1,0,2016-06-22 11:58:03+00:00,2026-07-14 02:37:09+00:00,2024-02-28 02:47:42+00:00
feder-cr,Jobs_Applier_AI_Agent_AIHawk,Archived,30010,4602,30010,204,26,192,Python,20,AGPL-3.0,main,9,0,1,1438,0,0,1,1,1,0,2024-08-04 12:15:06+00:00,2026-07-14 11:53:19+00:00,2026-05-17 00:16:40+00:00
dnSpy,dnSpy,Archived,29650,5578,29650,3,185,35047,C#,0,No License,master,25,1,1,4308,1,0,0,0,1,0,2015-07-01 16:05:10+00:00,2026-07-14 08:25:51+00:00,2020-12-20 23:55:15+00:00
lidongyooo,AlgoKiller,New,99,68,99,1,0,130,Python,0,No License,main,1,0,1,13159,0,1,1,0,0,0,2026-04-28 08:14:49+00:00,2026-07-08 06:46:12+00:00,2026-06-23 08:34:42+00:00
Diaugeia,paper-glance-skill,New,99,8,99,0,0,69,Unknown,0,No License,main,1,4,1,7159,1,1,1,0,0,0,2026-03-07 03:30:43+00:00,2026-07-08 21:57:55+00:00,2026-07-08 21:57:20+00:00
Pawel-N-pl,bmad-assist,New,99,24,99,2,10,5944,Python,0,No License,master,3,23,1,12590,1,1,1,0,0,0,2026-01-18 08:03:03+00:00,2026-06-21 15:59:17+00:00,2026-06-08 08:12:48+00:00
buer2233,ai-api-test-skill,New,99,13,99,2,1,22963,Python,16,MIT,master,0,4,4,8069,1,1,1,0,0,0,2026-04-28 01:53:45+00:00,2026-07-14 02:10:13+00:00,2026-06-23 09:28:18+00:00
ghotality,theforge-crafting,New,99,7,99,0,0,2751,TypeScript,0,No License,main,3,0,1,1248,1,1,0,1,0,0,2025-12-01 02:55:20+00:00,2026-07-14 04:44:25+00:00,2025-12-05 19:21:01+00:00
Awuqing,BackupX,New,99,15,99,1,4,3611,Go,1,Apache-2.0,main,2,27,22,5889,1,1,1,1,0,0,2026-03-17 05:36:24+00:00,2026-06-12 15:02:29+00:00,2026-06-20 02:10:56+00:00
fengruyi123,FFmpegGUI,New,99,4,99,1,8,61,Unknown,0,No License,main,1,21,1,2601,1,1,1,0,0,0,2025-04-05 15:20:09+00:00,2026-07-09 14:59:05+00:00,2025-12-04 16:20:36+00:00
baxy5,scificn-ui,New,99,8,99,0,2,136713,TypeScript,0,No License,main,1,0,1,3521,1,1,1,0,0,0,2026-02-19 16:05:34+00:00,2026-07-11 08:40:59+00:00,2026-04-07 09:52:16+00:00
Vitruves,firemark,New,99,6,99,2,1,16230,Rust,0,MIT,main,2,3,1,11024,1,1,1,0,0,0,2026-03-09 15:20:55+00:00,2026-07-11 17:33:14+00:00,2026-07-11 17:33:05+00:00
T3-Content,skatebench,New,99,17,99,2,4,206,TypeScript,0,MIT,main,1,0,5,224,0,1,1,0,0,0,2025-07-27 03:48:20+00:00,2026-07-12 01:09:24+00:00,2026-02-20 22:23:10+00:00
Semperis,SAMLSmith,New,99,6,99,0,2,486,C#,0,Apache-2.0,main,1,0,3,6089,1,1,1,0,0,0,2025-07-13 14:30:09+00:00,2026-07-13 12:07:03+00:00,2026-04-14 23:33:31+00:00
gowtham0992,link,New,99,13,99,5,0,11142,Python,7,MIT,main,1,6,3,27359,0,1,1,1,0,0,2026-04-10 04:31:25+00:00,2026-07-14 07:48:32+00:00,2026-07-13 02:30:42+00:00
sthetix,HATS-Tools,New,99,5,99,3,5,6939,C,0,GPL-3.0,main,30,15,1,8409,1,1,1,0,0,0,2025-12-24 01:52:06+00:00,2026-07-14 08:30:41+00:00,2026-06-30 23:45:10+00:00
MAS-Copilot,wpf-mc-protocol-next,New,99,15,99,8,0,25032,C#,5,NOASSERTION,main,2,1,1,4107,1,1,1,0,0,0,2025-04-14 01:00:57+00:00,2026-06-09 02:18:11+00:00,2026-02-27 05:53:04+00:00
led-run,led.run,New,99,6,99,1,2,1036,JavaScript,0,MIT,main,1,0,3,3685,1,1,1,0,0,0,2026-02-07 04:50:04+00:00,2026-06-12 02:31:18+00:00,2026-03-01 03:25:47+00:00
KartikLabhshetwar,portfolio,New,99,14,99,1,0,229491,TypeScript,5,Apache-2.0,main,1,0,1,81,1,1,1,0,0,0,2025-03-25 09:15:30+00:00,2026-06-28 14:47:07+00:00,2026-06-28 14:47:03+00:00
blogger-templates,Plus-UI-V3.7.0,New,99,26,99,2,0,2131,Unknown,16,MIT,main,1,2,1,6866,0,1,0,1,0,0,2025-04-22 13:12:11+00:00,2026-06-29 19:01:55+00:00,2026-01-15 05:16:00+00:00
AI3lab,argo-workflow-runner,New,99,1,99,0,0,180,Python,0,NOASSERTION,main,3,0,1,2323,1,1,1,0,0,0,2025-01-14 16:31:31+00:00,2025-09-02 09:35:48+00:00,2025-01-31 08:06:15+00:00
AXora009,Technician-AI,New,99,1,99,0,0,593,Python,0,No License,main,4,0,14,21208,0,1,1,0,0,0,2026-04-18 19:45:01+00:00,2026-07-09 18:05:17+00:00,2026-07-09 18:04:52+00:00
hatemkhalid,portfolio,New,99,0,99,1,0,2,Unknown,0,No License,main,1,0,1,35,1,1,1,0,0,0,2026-01-09 14:48:07+00:00,2026-07-08 04:47:35+00:00,2026-01-10 21:18:46+00:00
mhmtszr,go-guidelines,New,99,5,99,1,0,66,Unknown,0,MIT,master,2,0,1,5383,0,1,1,0,0,0,2026-03-05 08:40:03+00:00,2026-07-11 23:17:32+00:00,2026-07-08 09:57:38+00:00
shuyu-labs,AntSK-FileChunk,New,99,18,99,2,0,546,Python,0,No License,main,2,0,2,13595,1,1,1,0,0,0,2025-08-21 04:36:57+00:00,2026-07-11 05:36:13+00:00,2026-05-16 12:09:37+00:00
game4automation,realvirtual-WEB,New,99,22,99,2,0,106051,TypeScript,8,AGPL-3.0,main,1,0,1,17936,1,1,1,0,0,0,2026-03-26 18:41:59+00:00,2026-07-11 13:49:45+00:00,2026-06-27 10:50:41+00:00
AnthonySf,TheStringTheory,New,99,9,99,5,8,1123982,C#,0,GPL-3.0,main,1,11,5,6130,1,1,1,0,0,0,2026-03-16 23:02:42+00:00,2026-07-13 11:46:13+00:00,2026-07-05 23:22:23+00:00
tiehfood,thrifty,New,99,5,99,1,8,2944,Go,11,BSD-2-Clause,main,3,16,8,5732,0,0,1,0,0,0,2025-01-21 16:48:26+00:00,2026-07-13 04:09:20+00:00,2026-06-22 08:14:36+00:00
ibidi,schengen-visa,New,99,12,99,1,0,88,TypeScript,0,MIT,main,1,0,1,16359,1,1,1,0,0,0,2025-11-12 22:38:39+00:00,2026-07-14 07:33:55+00:00,2025-11-16 21:00:04+00:00
coffeefuelbump,AI-YouTube-Timestamps,New,99,55,99,2,8,909,JavaScript,0,No License,main,1,0,3,5337,1,1,1,0,0,0,2025-06-21 04:26:25+00:00,2026-07-14 11:23:17+00:00,2025-07-10 05:55:38+00:00
trr678,yy78,New,99,0,99,0,0,3,HTML,0,No License,main,0,0,1,800,1,1,1,0,0,0,2025-11-29 07:26:43+00:00,2026-04-14 00:27:25+00:00,2025-11-29 07:33:50+00:00
PKU-YuanGroup,Look-Back,New,99,5,99,0,4,2674,Python,0,No License,master,2,0,2,7069,0,1,1,0,0,0,2025-06-08 07:25:38+00:00,2026-07-06 13:06:00+00:00,2025-07-10 02:52:08+00:00
badtuxx,LINUXtips-github-actions,New,99,169,99,0,16,180,JavaScript,0,MIT,main,2,0,1,3602,1,1,1,0,0,0,2025-09-11 13:14:34+00:00,2026-07-07 19:00:04+00:00,2025-10-02 13:48:04+00:00
XY121718,baoyu-skills,New,99,8,99,0,2,30060,TypeScript,0,No License,main,10,0,1,33639,1,1,1,0,0,0,2026-03-02 09:30:39+00:00,2026-06-22 14:27:34+00:00,2026-03-02 13:09:59+00:00
tryghostxyz,solfi-sim,New,99,39,99,2,0,414,Rust,0,Apache-2.0,main,2,0,2,3888,1,1,1,0,0,0,2025-04-15 16:25:06+00:00,2026-06-14 08:03:33+00:00,2025-07-22 19:04:24+00:00
wevm,cuer,New,99,4,99,2,5,152,TypeScript,0,MIT,main,4,3,3,1232,0,1,1,0,0,0,2025-03-22 09:49:26+00:00,2026-06-12 19:22:03+00:00,2025-12-01 07:52:19+00:00
facebookresearch,visual_inertial_bundle_adjustment,New,99,8,99,4,0,1513,C++,0,MIT,main,4,0,2,6391,0,1,1,0,0,0,2025-12-18 22:28:42+00:00,2026-06-30 16:54:31+00:00,2026-03-20 08:30:56+00:00
grp06,goalcraft,New,99,7,99,2,0,2665,Python,0,MIT,main,1,0,1,4065,1,1,1,0,0,0,2026-05-08 21:55:07+00:00,2026-07-13 06:32:21+00:00,2026-06-04 22:23:26+00:00
celsomarques,ionic-datepicker,Hobby,50,29,50,10,9,257,TypeScript,0,MIT,master,6,11,3,2669,1,1,1,0,0,0,2015-07-20 00:22:23+00:00,2023-07-11 01:23:08+00:00,2017-09-05 00:00:53+00:00
licheedev,Custom-Glide-ModelLoader-Demo,Hobby,50,12,50,2,0,220,Java,0,No License,master,1,0,1,196,1,1,1,0,0,0,2015-09-19 10:59:10+00:00,2025-07-05 03:05:41+00:00,2015-09-20 10:15:09+00:00
benfred,mds.js,Hobby,50,9,50,6,1,116,HTML,0,MIT,master,1,0,2,269,1,1,1,1,0,0,2013-05-16 16:51:27+00:00,2024-02-23 19:56:39+00:00,2015-11-10 04:40:34+00:00
DomanyDusan,lambda-sql-builder,Hobby,50,21,50,11,2,140,C#,0,NOASSERTION,master,1,0,1,5002,1,1,1,0,0,0,2013-05-22 10:03:36+00:00,2025-10-08 13:57:50+00:00,2017-06-14 13:52:12+00:00
OttoAllmendinger,gnome-shell-imgur,Hobby,50,14,50,4,1,102,JavaScript,0,MIT,master,8,0,1,263,1,1,1,0,0,0,2013-05-20 22:06:59+00:00,2026-03-13 21:43:19+00:00,2017-05-08 11:21:36+00:00
drubio,beginningdjango,Hobby,50,32,50,4,0,3013,Python,0,No License,master,1,0,1,98,1,1,1,0,0,0,2013-04-23 06:48:00+00:00,2024-09-25 17:31:09+00:00,2022-04-01 00:24:09+00:00
leigo,guide,Hobby,50,53,50,7,0,3243,Unknown,0,No License,master,1,0,1,53,1,1,1,0,0,0,2013-05-03 12:42:24+00:00,2023-10-19 07:00:08+00:00,2013-05-03 12:58:38+00:00
lmacken,unicards,Hobby,50,11,50,4,3,39,Python,0,Apache-2.0,master,4,2,1,1120,1,1,1,0,0,0,2013-07-22 01:52:43+00:00,2026-01-25 16:05:06+00:00,2023-03-07 21:27:46+00:00
kremalicious,wp-icons-template,Hobby,50,3,50,6,0,749,PHP,0,No License,master,1,0,1,782,0,1,1,0,0,0,2012-05-13 15:20:02+00:00,2024-07-09 12:14:43+00:00,2012-07-15 17:19:52+00:00
mikekelly,hal-rfc,Hobby,50,16,50,16,0,70,Unknown,0,No License,master,5,0,2,660,1,1,1,0,0,0,2012-06-06 23:22:07+00:00,2024-07-27 12:55:36+00:00,2023-10-19 10:31:55+00:00
scikit-hep,probfit,Hobby,50,30,50,2,10,16865,Jupyter Notebook,0,MIT,master,13,2,8,2175,0,1,1,0,1,0,2012-03-30 05:40:00+00:00,2026-02-08 18:59:23+00:00,2024-05-21 05:46:10+00:00
