owner,repository,category,stars,forks,watchers,subscribers,open_issues,size,language,topics_count,license,default_branch,contributors,releases,branches,readme_size,has_wiki,has_projects,has_issues,has_pages,archived,disabled,created_at,updated_at,pushed_at
conda-forge,miniforge,Growing,9999,521,9999,64,127,1083,Shell,0,NOASSERTION,main,30,30,7,20257,0,0,1,1,0,0,2019-11-14 01:23:03+00:00,2026-07-14 12:05:04+00:00,2026-07-01 18:53:04+00:00
InsertKoinIO,koin,Growing,9998,786,9998,105,79,44258,Kotlin,7,Apache-2.0,main,30,30,23,5577,1,1,1,0,0,0,2017-06-06 12:21:06+00:00,2026-07-13 16:50:48+00:00,2026-06-15 08:55:27+00:00
go-swagger,go-swagger,Growing,9998,1309,9998,111,324,56710,Go,7,Apache-2.0,master,30,30,6,13473,0,0,1,1,0,0,2014-11-16 20:13:15+00:00,2026-07-13 20:11:40+00:00,2026-07-12 10:00:06+00:00
pagekit,vue-resource,Growing,9997,1567,9997,2,113,1765,JavaScript,4,MIT,develop,21,30,17,2459,1,1,1,0,1,0,2014-02-07 23:07:56+00:00,2026-07-14 03:14:26+00:00,2022-12-08 21:37:18+00:00
ruby-grape,grape,Growing,9996,1230,9996,194,237,7567,Ruby,4,MIT,master,30,0,30,121736,0,1,1,0,0,0,2010-08-02 14:25:08+00:00,2026-07-14 01:24:12+00:00,2026-07-14 01:24:10+00:00
Theano,Theano,Growing,9995,2465,9995,521,699,68115,Python,0,NOASSERTION,master,30,0,3,469,1,1,1,0,0,0,2011-08-10 03:48:06+00:00,2026-07-11 19:01:02+00:00,2024-01-15 03:16:24+00:00
samratashok,nishang,Growing,9994,2547,9994,400,21,11154,PowerShell,9,NOASSERTION,master,11,7,1,17490,1,1,1,0,0,0,2014-05-19 11:48:24+00:00,2026-07-14 10:57:27+00:00,2024-04-25 19:39:44+00:00
luanfujun,deep-photo-styletransfer,Growing,9991,1378,9991,417,34,174265,Matlab,0,No License,master,5,0,1,9119,1,1,1,0,0,0,2017-03-22 04:47:29+00:00,2026-07-08 21:43:01+00:00,2021-08-02 01:07:44+00:00
data-privacy-stack,presidio,Growing,9991,1198,9991,89,85,345435,Python,20,MIT,main,30,30,30,6722,1,1,1,1,0,0,2018-05-04 11:08:58+00:00,2026-07-14 11:42:16+00:00,2026-07-13 20:47:14+00:00
t8y2,dbx,Growing,9989,1001,9989,110,830,48996,Rust,14,Apache-2.0,main,30,30,10,25511,1,1,1,1,0,0,2026-04-29 03:00:36+00:00,2026-07-14 12:10:41+00:00,2026-07-14 11:03:42+00:00
microsoft,vscode-copilot-chat,Growing,9986,1992,9986,90,256,86542,TypeScript,0,MIT,main,30,30,30,9154,0,0,1,0,1,0,2025-06-10 16:21:19+00:00,2026-07-14 08:23:56+00:00,2026-05-20 10:23:40+00:00
WebKit,WebKit,Growing,9986,2049,9986,143,2386,12747947,JavaScript,7,No License,main,30,0,30,5724,1,0,0,0,0,0,2020-12-11 17:11:43+00:00,2026-07-14 12:20:17+00:00,2026-07-14 12:22:07+00:00
QianMo,Game-Programmer-Study-Notes,Growing,9984,1754,9984,208,735,788853,Unknown,18,No License,master,4,0,1,10674,1,1,1,0,0,0,2016-11-16 06:57:32+00:00,2026-07-14 05:45:45+00:00,2021-10-16 10:02:21+00:00
KoljaB,RealtimeSTT,Growing,9983,848,9983,73,146,5824,Python,3,MIT,master,23,30,1,7182,1,1,1,0,0,0,2023-08-29 17:58:28+00:00,2026-07-13 20:48:13+00:00,2026-06-12 20:03:56+00:00
unoplatform,uno,Growing,9982,869,9982,188,1523,332714,C#,20,Apache-2.0,master,30,30,30,13502,0,0,1,0,0,0,2018-05-07 11:52:27+00:00,2026-07-14 07:57:19+00:00,2026-07-14 12:18:21+00:00
shidenggui,easytrader,Growing,9976,3006,9976,576,15,926,Python,0,MIT,master,30,0,1,1812,1,1,1,0,0,0,2015-12-05 11:28:55+00:00,2026-07-14 10:17:24+00:00,2026-02-28 07:14:27+00:00
Visualize-ML,Book4_Power-of-Matrix,Growing,9976,1562,9976,80,10,334630,Jupyter Notebook,6,No License,main,1,0,1,335,1,1,1,0,0,0,2022-07-02 19:58:34+00:00,2026-07-14 08:04:40+00:00,2026-05-01 14:42:44+00:00
rubickCenter,rubick,Growing,9975,1010,9975,71,148,107853,TypeScript,8,MIT,master,22,30,4,7107,1,1,1,1,0,0,2021-06-11 02:00:20+00:00,2026-07-14 03:31:05+00:00,2026-01-14 03:25:16+00:00
prometheus-operator,prometheus-operator,Growing,9961,3861,9961,137,298,171959,Go,4,Apache-2.0,main,30,30,30,9930,0,1,1,0,0,0,2016-09-22 21:38:06+00:00,2026-07-14 00:51:17+00:00,2026-07-10 15:16:34+00:00
r-lyeh,single_file_libs,Growing,9960,650,9960,313,9,429,Unknown,0,No License,master,30,0,1,83968,0,0,1,0,0,0,2016-10-07 15:54:19+00:00,2026-07-13 08:30:05+00:00,2026-06-20 17:08:29+00:00
