stars,forks,watchers,subscribers,open_issues,size,topics_count,contributors,releases,branches,readme_size,has_wiki,has_projects,has_issues,has_pages,archived,disabled,repository_age_days,days_since_last_update,days_since_last_commit,fork_star_ratio,stars_per_contributor,issues_per_star,documentation_score,stars_per_day,contributors_per_day,releases_per_year,commit_recency_score,update_recency_score,contributors_per_branch,watchers_per_star,subscribers_per_star,language_C,language_C++,language_Go,language_Java,language_JavaScript,language_Other,language_Python,language_Rust,language_TypeScript,cluster
5.159021479660669,2.9946518109247613,5.159021479660669,3.4139635357402587,0.0968217048388126,-0.1617290844135603,0.2522303164385041,1.218577862068828,-0.6499734722564491,-0.6273957384275181,0.637078449642693,-1.4313561708410938,-1.927947388305882,0.2614881801842451,-0.5124707431905382,-0.423373691930507,0.0,0.1364566169696075,-0.3277776752437398,-0.7495195862420704,-0.5256005402254078,0.907638207227036,-0.5002512542458092,0.637078449642693,0.9610626525938436,-0.0624853193700871,-0.2975364224864796,-0.2731005845427954,0.8694611604646897,2.860915492656194,0.6468802374515749,-0.317934856896889,-0.156812512046795,-0.156812512046795,-0.2041241452319315,-0.2041241452319315,-0.3967460238079361,1.224744871391589,-0.4874666782214324,-0.1428571428571428,-0.3762346494084843,1
4.731091541136657,2.04452150007136,4.731091541136657,4.24386105683789,-0.1259546327860746,-0.1612218750868717,0.0735969478559941,1.218577862068828,-0.6499734722564491,-0.5319888438977859,1.3677440112266508,-1.4313561708410938,-1.927947388305882,0.2614881801842451,1.9513309067639728,-0.423373691930507,0.0,0.9389195895173084,-0.3277776752437398,-0.7535939834223137,-0.6298111700986923,0.8236599228363336,-0.5173852547811064,1.3677440112266508,0.5273659066415173,-0.1600443298925257,-0.2975364224864796,-0.2116991336814801,0.8694611604646897,1.6539449779422883,0.6468575036943672,-0.2759388703206936,-0.156812512046795,-0.156812512046795,-0.2041241452319315,-0.2041241452319315,-0.3967460238079361,1.224744871391589,-0.4874666782214324,-0.1428571428571428,-0.3762346494084843,1
4.379555991219963,2.716388541888771,4.379555991219963,4.471422665534261,-0.030627083662867,0.4677275069616697,1.8599306336810943,1.218577862068828,-0.6499734722564491,-0.4365819493680539,-0.2504719593474725,-1.4313561708410938,0.5186863531990443,0.2614881801842451,-0.5124707431905382,-0.423373691930507,0.0,0.843566079536694,-0.3277776752437398,-0.7641874160909462,-0.4933409710081622,0.7546735077091999,-0.5084160581970006,-0.2504719593474725,0.5042078435580478,-0.151833396428644,-0.2975364224864796,2.8215325388674963,0.8694611604646897,1.0504597205853354,0.6468358018672404,-0.2540921782993711,-0.156812512046795,-0.156812512046795,-0.2041241452319315,-0.2041241452319315,-0.3967460238079361,-0.816496580927726,-0.4874666782214324,-0.1428571428571428,2.657915749047034,1
4.359690895185786,2.9817749905066147,4.359690895185786,2.1901877734175503,0.6299306616202291,-0.1553262483970831,1.502663896516074,1.218577862068828,-0.6499734722564491,-0.4365819493680539,4.504997405923023,-1.4313561708410938,-1.927947388305882,0.2614881801842451,-0.5124707431905382,-0.423373691930507,0.0,0.5839288113967077,-0.3277776752437398,-0.7641874160909462,-0.4479318056499583,0.7507751203003621,-0.4480089898258069,4.504997405923023,0.5864527063511592,-0.125809003177281,-0.2975364224864796,2.8215325388674963,0.8694611604646897,1.0504597205853354,0.6468344804176297,-0.345290383022354,-0.156812512046795,-0.156812512046795,-0.2041241452319315,-0.2041241452319315,-0.3967460238079361,-0.816496580927726,2.051422270848529,-0.1428571428571428,-0.3762346494084843,1
3.743713230859149,4.15638890864963,3.743713230859149,5.104662006277003,-0.1337259003776405,-0.1394151463574998,0.0735969478559941,1.218577862068828,-0.6499734722564491,1.2807421521671232,-0.0448184125567228,-1.4313561708410938,-1.927947388305882,0.2614881801842451,1.9513309067639728,-0.423373691930507,0.0,1.0963103228588045,-0.3277776752437398,-0.7568535011665083,-0.1460307973428729,0.6298937731070282,-0.5172440147076601,-0.0448184125567228,0.3515031909683429,-0.1723176353188884,-0.2975364224864796,-0.1183689283722808,0.8694611604646897,-0.430822274745367,0.6467872627230647,-0.1949704777675916,-0.156812512046795,-0.156812512046795,-0.2041241452319315,-0.2041241452319315,-0.3967460238079361,-0.816496580927726,2.051422270848529,-0.1428571428571428,-0.3762346494084843,1
3.646123018991358,5.110168799621544,3.646123018991358,0.5989421540888495,3.218280854117757,1.913660221576036,0.4308636850210142,1.218577862068828,1.918414853309077,2.139404202934712,1.5434798793135591,-1.4313561708410938,-1.927947388305882,0.2614881801842451,-0.5124707431905382,-0.423373691930507,0.0,-1.4466414162025212,-0.3277776752437398,-0.7641874160909462,0.0573287428083956,0.6107423704399244,-0.1572693888403519,1.5434798793135591,10.73723206156034,3.560469351544291,3.352250702311543,2.8215325388674963,0.8694611604646897,-0.5263888550892833,0.646778472429248,-0.4024130977914767,-0.156812512046795,-0.156812512046795,-0.2041241452319315,-0.2041241452319315,-0.3967460238079361,-0.816496580927726,-0.4874666782214324,-0.1428571428571428,2.657915749047034,1
3.4114253195436293,2.6416065794603902,3.4114253195436293,3.443743203051142,-0.1674013932744258,0.2313177851784983,2.395830739428624,1.218577862068828,-0.5643605280709316,2.139404202934712,-0.1907918456395131,0.6986381310057718,-1.927947388305882,0.2614881801842451,-0.5124707431905382,-0.423373691930507,0.0,0.3771380668604355,-0.3277776752437398,-0.7641874160909462,-0.3799585037752358,0.5646845736471929,-0.5207185296109118,-0.1907918456395131,0.4963763798836828,-0.1001430413673085,-0.2892187346922901,2.8215325388674963,0.8694611604646897,-0.5263888550892833,0.6467555038285557,-0.2564559268089275,-0.156812512046795,-0.156812512046795,-0.2041241452319315,-0.2041241452319315,-0.3967460238079361,-0.816496580927726,-0.4874666782214324,-0.1428571428571428,2.657915749047034,1
3.3761131418665853,3.514544827807149,3.3761131418665853,3.453857052326536,0.1222078456379277,-0.1506282901819267,1.502663896516074,1.218577862068828,-0.6499734722564491,-0.5319888438977859,2.037864529918476,0.6986381310057718,0.5186863531990443,0.2614881801842451,-0.5124707431905382,-0.423373691930507,0.0,0.3869031853524261,-0.3277776752437398,-0.6696614015093015,-0.1949705292519653,0.5577548035319116,-0.4874136024419312,2.037864529918476,0.4864248792252545,-0.1014764224295142,-0.2975364224864796,-0.4171053547679657,0.8694611604646897,1.6539449779422883,0.6467518028683106,-0.2541489958317792,-0.156812512046795,-0.156812512046795,-0.2041241452319315,-0.2041241452319315,-0.3967460238079361,-0.816496580927726,2.051422270848529,-0.1428571428571428,-0.3762346494084843,1
3.3615922463732213,5.378929388348956,3.3615922463732213,4.411301450397195,-0.110412097602943,-0.1381683931093169,1.3240305279335642,1.218577862068828,-0.6499734722564491,-0.5319888438977859,2.63278056493,-1.4313561708410938,-1.927947388305882,0.2614881801842451,-0.5124707431905382,-0.423373691930507,0.0,0.5396985688153384,-0.3277776752437398,-0.5042408759914233,0.1923243751624506,0.5549051784377773,-0.514131679063692,2.63278056493,0.4338527752673951,-0.120740248071524,-0.2975364224864796,-0.4348166557487846,0.8694611604646897,1.6539449779422883,0.6467502609768065,-0.2046178262821325,-0.156812512046795,-0.156812512046795,-0.2041241452319315,-0.2041241452319315,-0.3967460238079361,1.224744871391589,-0.4874666782214324,-0.1428571428571428,-0.3762346494084843,1
2.849656159507469,1.5244907631845002,2.849656159507469,3.0397511125506704,-0.1648109707439038,-0.1566297218280354,0.2522303164385041,1.218577862068828,-0.6499734722564491,-0.6273957384275181,1.426226530679601,-1.4313561708410938,-1.927947388305882,-3.824264635194589,1.9513309067639728,-0.423373691930507,0.0,0.9469614518048302,-0.3277776752437398,-0.7641874160909462,-0.5392790174726722,0.4544412696938385,-0.5202515766229223,1.426226530679601,0.2574836821442443,-0.1607084891874958,-0.2975364224864796,2.8215325388674963,0.8694611604646897,2.860915492656194,0.6466871759620957,-0.2471384811505716,-0.156812512046795,-0.156812512046795,-0.2041241452319315,-0.2041241452319315,-0.3967460238079361,-0.816496580927726,2.051422270848529,-0.1428571428571428,-0.3762346494084843,1
